id,first_name,last_name,age,email,gender,marital_status,number_of_children,education_level,job,salary,savings,housing,current_loans,monthly_expenses
1,Bevon,Tizard,60,btizard0@xing.com,Female,married,5,PhD,Unemployed,136225.54,36718.79,Yes,No,23426.31
2,Barr,Agent,95,bagent1@auda.org.au,Male,married,2,High School Diploma,Unemployed,198086.78,179546.81,Yes,No,15016.6
3,Afton,Mandres,55,amandres2@reverbnation.com,Female,divorced,2,High School Diploma,Unemployed,113319.98,217243.06,No,Yes,1768.88
4,Aviva,Ebbin,77,aebbin3@cnbc.com,Female,widowed,4,Bachelor's Degree,Unemployed,207562.31,66862.32,No,Yes,11602.86
5,Braden,Lutwyche,108,blutwyche4@booking.com,Female,single,4,High School Diploma,Retired,246503.91,,No,Yes,5881.35
6,Lanie,Francescuzzi,32,lfrancescuzzi5@twitpic.com,Female,divorced,5,High School Diploma,Unemployed,90121.57,49933.19,No,Yes,19252.64
7,Deni,Cufflin,34,dcufflin6@csmonitor.com,Male,single,3,Bachelor's Degree,Retired,211834.68,141354.5,No,No,3215.67
8,Christin,Vallantine,118,cvallantine7@statcounter.com,Female,divorced,5,Bachelor's Degree,Retired,127073.67,,Yes,Yes,20476.61
9,Eduardo,Kensy,120,ekensy8@vk.com,Male,married,3,PhD,Employed,154829.94,,No,Yes,4188.83
10,Timmie,Chittie,88,tchittie9@ucoz.com,Female,divorced,0,Master's Degree,Unemployed,237681.39,110879.3,Yes,No,24242.19
11,Everett,Lashmar,41,elashmara@trellian.com,Female,widowed,0,PhD,Employed,158126.18,,Yes,Yes,22331.42
12,Augustine,Tyas,26,atyasb@skyrock.com,Male,married,0,PhD,Unemployed,222705.88,216072.89,Yes,No,11077.59
13,Rodi,Pettinger,79,rpettingerc@buzzfeed.com,Male,married,1,PhD,Employed,225968.53,32423.49,No,Yes,19397.63
14,Benji,Offner,106,boffnerd@berkeley.edu,Female,married,0,Bachelor's Degree,Employed,18068.25,66809.58,Yes,No,12857.82
15,Angel,Keasy,56,akeasye@eepurl.com,Female,single,2,PhD,Retired,110610.73,,Yes,Yes,19525.03
16,Allissa,Bowman,77,abowmanf@constantcontact.com,Male,divorced,0,Master's Degree,Unemployed,202844.87,,No,No,18001.2
17,Piotr,Morpeth,59,pmorpethg@shinystat.com,Female,widowed,0,High School Diploma,Unemployed,40244.08,31307.2,Yes,Yes,15143.24
18,Dilan,Phebee,61,dphebeeh@chicagotribune.com,Male,widowed,4,High School Diploma,Unemployed,155353.93,241307.43,No,Yes,843.3
19,Sasha,Sinnott,99,ssinnotti@sohu.com,Male,married,1,PhD,Employed,114857.36,,Yes,No,21418.99
20,Corabella,Lynde,108,clyndej@marketwatch.com,Male,single,1,PhD,Unemployed,153462.05,,No,No,24660.04
21,Rodolfo,De Witt,77,rdewittk@uiuc.edu,Female,divorced,1,Bachelor's Degree,Unemployed,241010.12,136671.68,Yes,Yes,2386.08
22,Zandra,Hummerston,35,zhummerstonl@theatlantic.com,Female,divorced,0,High School Diploma,Retired,50952.61,126928.8,Yes,No,17379.41
23,Mortie,Coaster,74,mcoasterm@hexun.com,Male,married,1,PhD,Employed,216925.36,200036.82,Yes,Yes,8582.51
